post_id,date,author,content,likes,comments
1,2024-08-02,JaneD,"Anyone know a good handyman near 1245 DAUER DR? Need help fixing a leaky faucet and installing some shelves. Thanks!",3,2
2,2024-08-05,MikeS,"Lost dog! Our golden retriever, Max, got out near 1400 SALZEDO ST. He's wearing a red collar with tags. Please call 555-0123 if you see him.",12,8
3,2024-08-07,EmmaL,"Heads up! There's a broken traffic light at the intersection of 5555 PONCE DE LEON BLVD and 2916 PONCE DE LEON BLVD. Be careful driving through there.",7,4
4,2024-08-10,DavidW,"Free moving boxes available. Just finished unpacking at 5300 SW EIGHTH ST. Have about 15 boxes of various sizes. First come, first served. DM for details.",2,1
5,2024-08-12,SarahK,"Recommendation needed: Looking for a reliable babysitter near 430 ALHAMBRA CIR. We have two kids, ages 4 and 6. Any suggestions?",4,6
6,2024-08-15,AlexM,"Does anyone know what's replacing the old bookstore at 1710 HERNANDO ST? Saw some construction going on there today.",8,5
7,2024-08-18,LisaP,"Garage sale this Saturday from 8am-2pm at 4600 BROADER ST. Furniture, kitchenware, children's toys, and more!",5,2
8,2024-08-20,ChrisR,"Warning: Coyote spotted near 910 COUNTRY CLUB PRADO around 6am this morning. Keep small pets indoors!",15,10
9,2024-08-23,TomH,"Looking for recommendations for a good dentist near 4350 PALMARITO ST. Preferably one good with anxious patients. Thanks in advance!",2,3
10,2024-08-25,NicoleF,"Found: Set of keys near 1600 BIRD RD. Has a distinctive blue keychain. DM me to claim.",4,1
11,2024-08-28,KevinL,"Does anyone have experience with solar panel installation? Considering it for our home at 1270 BIRD RD and would love some local insights.",6,7
12,2024-08-30,RachelB,"Noise complaint: To whoever is setting off fireworks near 2551 LEJEUNE RD, please stop. It's scaring pets and waking up kids.",10,8
13,2024-09-02,AndrewG,"Free lemon tree saplings! Our tree at 50 MINORCA AV produced way too many seeds this year. First 5 people to comment can come pick one up.",7,5
14,2024-09-04,OliviaS,"PSA: The farmers market at 6531 SANTONA ST is moving to Saturdays starting next month. New hours will be 9am-1pm.",9,3
15,2024-09-06,EthanK,"Car break-in on 51 MERRICK WAY last night. Nothing stolen but car was ransacked. Keep an eye out and lock your doors!",11,6
