id,owner,created,modified,title,type,description,tags,snippet,categories,accessInformation,licenseInfo,culture,url,access,license,source,extent,industries
"d879829b27c74d9eb6e4484f22317297","MDPublisher","Mon, 15 Mar 2021 12:14:35 GMT","Fri, 27 Aug 2021 15:31:07 GMT","PMT Element 2.1 - Jobs Housing Balance Change (map) (TREND)","Web Map","","PMT,Regional Growth,Performance Monitoring Toolkit,TPO,Florida,Miami-Dade County,MDC,County Government,Local Government,Trend,jobs,housing","Change in JH Ratio by block in Miami Dade County since 2014 (trend)","","","","en-us",,"public",,"Miami-Dade County, Florida","-81.41487048339745,24.940383649238996,-79.49912951659985,26.171848133994523",""
"da0e434c7a914bb983222393dab2b897","MDPublisher","Tue, 05 Jun 2018 12:36:23 GMT","Wed, 18 Sep 2024 15:13:30 GMT","Code Compliance Violation","Feature Service","A point feature class of code compliance violations within Miami-Dade County. Open violations that were issued within unincorporated areas of Miami-Dade County for non-compliance of housing standards regulations and activities prohibited in residential areas. Updated: Daily-Job The data was created using: Projected Coordinate System: WGS_1984_Web_Mercator_Auxiliary_Sphere Projection: Mercator_Auxiliary_Sphere","Florida,Miami-Dade County,MDC,County Government,Local Government,WGS84,Infrastructure,Code Compliance Violation,CCVIOL,ITD,Information Technology Department","A point feature class of code compliance violations within Miami-Dade County.","","Miami-Dade County GIS Technical Support Group","Miami-Dade County provides this data for use ""as is"". The areas depicted by this map/data are approximate, and are not accurate to surveying or engineering standards. The maps/data shown here are for illustration purposes only and are not suitable for site-specific decision making. Information found here should not be used for making financial or any other commitments. Miami-Dade County provides this information with the understanding that it is not guaranteed to be accurate, correct or complete and conclusions drawn from such information are the sole responsibility of the user. While every effort has been made to ensure the accuracy, correctness and timeliness of materials presented, Miami-Dade County assumes no responsibility for errors or omissions, even if Miami-Dade County is advised of the possibility of such damage.","english (united states)","https://services.arcgis.com/8Pc9XBTAsYuxx9Ny/arcgis/rest/services/CCVIOL_gdb/FeatureServer","public","custom","Miami-Dade County, Florida","-80.75382479689878,25.294509555823275,-80.12487463281636,25.974352570330712",""
"e0e330e6723b4fcebee5cb0d325f3b53","MDPublisher","Wed, 06 Jun 2018 01:00:41 GMT","Fri, 10 Mar 2023 14:43:50 GMT","Tract 2020","Feature Service","Census Tracts are small, relatively permanent statistical subdivisions of a county or statistically equivalent entity that can be updated by local participants prior to each decennial census as part of the Census Bureau’s Participant Statistical Areas Program (PSAP). The Census Bureau delineates census tracts in situations where no local participant responded or where state, local, or tribal governments declined to participate. The primary purpose of census tracts is to provide a stable set of geographic units for the presentation of statistical data. Updated: Weekly The data was created using: Projected Coordinate System: WGS_1984_Web_Mercator_Auxiliary_Sphere Projection: Mercator_Auxiliary_Sphere","Florida,Miami-Dade County,MDC,County Government,Local Government,WGS84,Demographics,Tract Aligned 2000,Census,Population,Aligned,ITD,Information Technology Department","A polygon feature class of the 2020 US Census Tract boundaries within Miami-Dade County.","","Miami-Dade County GIS Technical Support Group","Miami-Dade County provides this data for use ""as is"". The areas depicted by this map/data are approximate, and are not accurate to surveying or engineering standards. The maps/data shown here are for illustration purposes only and are not suitable for site-specific decision making. Information found here should not be used for making financial or any other commitments. Miami-Dade County provides this information with the understanding that it is not guaranteed to be accurate, correct or complete and conclusions drawn from such information are the sole responsibility of the user. While every effort has been made to ensure the accuracy, correctness and timeliness of materials presented, Miami-Dade County assumes no responsibility for errors or omissions, even if Miami-Dade County is advised of the possibility of such damage.","english (united states)","https://services.arcgis.com/8Pc9XBTAsYuxx9Ny/arcgis/rest/services/Tract_gdb/FeatureServer","public","custom","Miami-Dade County, Florida","-80.87358379332429,25.13742648203675,-80.04275765370643,25.979438726510548",""
"e423f4bf10574912bc62456c50ad4cbf","MDPublisher","Mon, 15 Mar 2021 12:57:22 GMT","Fri, 27 Aug 2021 15:31:07 GMT","PMT Element 2.1 - Compactness (map) (TREND)","Web Map","","PMT,Performance Monitoring Toolkit,TPO,Florida,Miami-Dade County,MDC,County Government,Local Government,Trend,design","Change in compactness by block in Miami Dade County since 2014 (trend)","","","","en-us",,"public",,"Miami-Dade County, Florida","-80.4532,25.6138,-79.9461,25.8813",""
"e523627bb1a748408f7f61aae1bbbfd0","MD_Apps","Tue, 26 Dec 2017 20:39:14 GMT","Fri, 29 Dec 2023 13:34:30 GMT","Miami Dade County - Aerial Photography Viewer","Web Mapping Application","This story map application shows Miami-Dade County aerial photography images since 1999. It also provides tools to add more layers and supports any spatial analysis in Miami Dade County. The citizens can detect changes throughout the years and uses aerial photography images to make decisions based on this. The application was developed to display Miami-Dade county photography images and helping citizens to have a better understand spatial information. This GIS application combines multiples data sources to have a better picture of Miami-Dade County. We welcome comments and suggestions contact us @ http://gisweb.miamidade.gov/GISContactUs","Story Map,Map Series,Florida,Miami-Dade County,MDC,County Government,Local Government,Aerial Photography,Miami-Dade Aerial Photography,Miami-Dade Aerial Images,Aerial,MDC Aerial,Imagery,ImageryHub,Production,Information Technology Department","This story map contains the Miami-Dade aerial photography images since 1999.  And allows adding more GIS information to any spatial analysis related with images.","/Categories/Production Content,/Categories/Source Department/Information Technology Department","Miami-Dade County - GIS Technical Support.","For Public Use Legal Disclaimer: Miami-Dade County provides this data for use ""as is"". The areas depicted by this map/data are approximate, and are not accurate to surveying or engineering standards. The maps/data shown here are for illustration purposes only and are not suitable for site-specific decision making. Information found here should not be used for making financial or any other commitments. Miami-Dade County provides this information with the understanding that it is not guaranteed to be accurate, correct or complete and conclusions drawn from such information are the sole responsibility of the user. While every effort has been made to ensure the accuracy, correctness and timeliness of materials presented, Miami-Dade County assumes no responsibility for errors or omissions, even if Miami-Dade County is advised of the possibility of such damage.","en-us","https://mdc.maps.arcgis.com/apps/MapSeries/index.html?appid=e523627bb1a748408f7f61aae1bbbfd0","public","custom","Miami-Dade County, Florida","",""
"dc83a432306248519c449a31b1ab834c","MDPublisher","Fri, 07 Feb 2020 13:58:27 GMT","Wed, 25 Sep 2024 03:44:02 GMT","Utility Coordination - Miami - Areas","Feature Service","This polygon feature class of City of Miami's projects is prepared to support our iMDC Utility Coordination application, and it is periodically updated by the iMDC Utility Coordination Data Processor job(s) after validating City of Miami's provided data for this solution. Any invalid data not meeting the required schema or criteria for collaboration is not reflected in this feature class. Updated: Daily The data was created using: Projected Coordinate System: WGS_1984_Web_Mercator_Auxiliary_Sphere Projection: Mercator_Auxiliary_Sphere","Florida,Miami-Dade County,MDC,County Government,Local Government,WGS84,Infrastructure,Utility Coordination - Miami - Areas,Miami CIP Area,ITD,Information Technology Department","A polygon feature class of City of Miami projects provided to collaborate with the iMDC Utility Coordination (for Right Of Way projects) solution.","","Miami-Dade County GIS Technical Support Group","Miami-Dade County provides this data for use ""as is"". The areas depicted by this map/data are approximate, and are not accurate to surveying or engineering standards. The maps/data shown here are for illustration purposes only and are not suitable for site-specific decision making. Information found here should not be used for making financial or any other commitments. Miami-Dade County provides this information with the understanding that it is not guaranteed to be accurate, correct or complete and conclusions drawn from such information are the sole responsibility of the user. While every effort has been made to ensure the accuracy, correctness and timeliness of materials presented, Miami-Dade County assumes no responsibility for errors or omissions, even if Miami-Dade County is advised of the possibility of such damage.","english (united states)","https://services.arcgis.com/8Pc9XBTAsYuxx9Ny/arcgis/rest/services/MiamiCIPArea_gdb/FeatureServer","public","custom","Miami-Dade County","-80.31670379990854,25.70960177344668,-80.1432380495499,25.853345493077693",""
"f1888add5a184fa08c7e3c1724486670","MD_Apps","Fri, 09 Oct 2015 17:28:14 GMT","Fri, 29 Dec 2023 13:37:09 GMT","MDC Owned Properties 1 Acre And Greater - Web App","Web Mapping Application","Web mapping Application showing Miami-Dade County Owned Properties 1 Acre And Greater.","Parcels,1 Acre,1 Acre And Greater,Parcels 1 Acre And Greater,Florida,Miami-Dade County,MDC,County Government,Local Government,Production,Internal Services","Web mapping Application showing Miami-Dade County Owned Properties 1 Acre And Greater.","/Categories/Production Content,/Categories/Source Department/Internal Services","Miami-Dade County ITD Department, GIS Development Group.","Miami-Dade County provides this data for use ""as is"". The areas depicted by this map/data are approximate, and are not accurate to surveying or engineering standards. The maps/data shown here are for illustration purposes only and are not suitable for site-specific decision making. Information found here should not be used for making financial or any other commitments. Miami-Dade County provides this information with the understanding that it is not guaranteed to be accurate, correct or complete and conclusions drawn from such information are the sole responsibility of the user. While every effort has been made to ensure the accuracy, correctness and timeliness of materials presented, Miami-Dade County assumes no responsibility for errors or omissions, even if Miami-Dade County is advised of the possibility of such damage.","en-us","https://mdc.maps.arcgis.com/apps/webappviewer/index.html?id=f1888add5a184fa08c7e3c1724486670","public","custom","Miami-Dade County, Florida","",""
"896365d10f5b4e8f8b51bcc05c530c17","MD_Apps","Tue, 18 Jul 2017 17:08:03 GMT","Fri, 29 Dec 2023 14:12:12 GMT","Utility Coordination","Web Mapping Application","iMDC Utility Coordination GIS Viewer is a free solution hosted by Miami-Dade County to help facilitate project coordination between municipalities, county agencies, and utilities. With thousands of capital improvement projects and other roadway projects planned by Miami-Dade County, project coordination amongst all agencies is critical to minimize construction impact to our citizens and to potentially reduce project related costs. Participating entities will also have the ability to use a secure version which includes additional project information and functionality. All projects include a project start and end date. This information is used by the time slider widget to allow users to take a snapshot of all active projects in given area for a specific time period. Users should know that these dates may change any number of times during the project life cycle. Before making any critical decisions users are encouraged to contact the affected agencies using the general contact information. For requesting participation as a data contributor, and feedback or suggestions please contact us at itdgisconstcoord@miamidade.gov. Data Contributors for Utility Coordination Project: · FDOT · · City of Miami · · City of Coral Gables · Miami-Dade Water and Sewer Department · Miami-Dade County Department of Transportation and Public Works","Florida,Miami-Dade County,MDC,County Government,Local Government,Business,Property,GIS Maps & Apps,FDOT,Department of Transportation and Public Works,iWASD,Utility Coordination,Production,Transportation and Public Works","Helps improve roadway project planning by finding construction projects, including County, municipal and utility projects locations.","/Categories/Production Content,/Categories/Source Department/Transportation and Public Works","- Miami-Dade County (ITD/WASD/GIS)
- FDOT
- Miami-Dade County Department of Transportation and Public Works","For Public Use Miami-Dade County, FDOT and the other participating municipalities/utilities provide this website as a public service on an “as is” “as available” basis and make no warranties, express or implied, as to the accuracy of the map and the contents of the website.  The County is continually editing and updating the GIS data to improve positional accuracy and information.  This information may not reflect data currently on file at the County, and the County, FDOT and the other participating municipalities/utilities assume no liability for any errors, omissions or inaccuracies in the information provided or for any decision made, action taken or not taken by the user in the reliance upon any information provided herein.  Under no circumstances shall the County, FDOT or any other participating municipality/utility be liable for any DIRECT, INDIRECT, INCIDENTIAL, SPECIAL, EXEMPLARY or CONSEQUENTIAL DAMAGES or LOST PROFITS that result from use, misuse or inability to use the map and data. Legal Disclaimer: Miami-Dade County, FDOT and the other participating municipalities/utilities provide this website as a public service on an “as is” “as available” basis and make no warranties, express or implied, as to the accuracy of the map and the contents of the website. The County is continually editing and updating the GIS data to improve positional accuracy and information. This information may not reflect data currently on file at the County, and the County, FDOT and the other participating municipalities/utilities assume no liability for any errors, omissions or inaccuracies in the information provided or for any decision made, action taken or not taken by the user in the reliance upon any information provided herein. Under no circumstances shall the County, FDOT or any other participating municipality/utility be liable for any DIRECT, INDIRECT, INCIDENTIAL , SPECIAL, EXEMPLARY or CONSEQUENTIAL DAMAGES or LOST PROFITS that result from use, misuse or inability to use the map and data.","en-us","https://gisweb.miamidade.gov/iMDCUtilityCoordination/","public","custom","Miami-Dade County, Florida","",""
"ae85109ee4af421dae5a071262ef0333","MDPublisher","Fri, 03 Dec 2021 15:41:44 GMT","Fri, 03 Dec 2021 15:44:24 GMT","Groundwater Level Baseline October 2040","File Geodatabase","This raster provides the average groundwater elevations in NAVD 88 for the month of October, based on the results of the U.S. Geological Survey groundwater model for Miami-Dade – Urban Miami-Dade (UMD), used to predict groundwater levels for year 2040, without sea level rise for comparison purposes. Assumes zero sea-level rise (or no change) for the period 2011-2040 Assumes the sea-level for year 2009 (-0.9 ft mean sea-level NAVD88) Recycles 15 years of climatic conditions for the period 1996-2010 Recycles regional canals, Water Conservations Areas and Everglades National Park operations for the period 1996-2010","Florida,Miami-Dade County,MDC,County Government,Local Government,WGS84,Environmental,GroundwaterLevel Baseline October 2040,RER,Regulatory and Economic Resources","This raster was developed to provide a baseline for comparison of  future groundwater levels during the month of October, for year 2040, representing future end of the dry season ground water levels for planning purposes, if sea level rise would not occur (baseline conditions).","","Miami-Dade County GIS Technical Support Group","Miami-Dade County provides this data for use ""as is"". The areas depicted by this map/data are approximate, and are not accurate to surveying or engineering standards. The maps/data shown here are for illustration purposes only and are not suitable for site-specific decision making. Information found here should not be used for making financial or any other commitments. Miami-Dade County provides this information with the understanding that it is not guaranteed to be accurate, correct or complete and conclusions drawn from such information are the sole responsibility of the user. While every effort has been made to ensure the accuracy, correctness and timeliness of materials presented, Miami-Dade County assumes no responsibility for errors or omissions, even if Miami-Dade County is advised of the possibility of such damage.","en-us",,"public","custom","Miami-Dade County, Florida","",""
"b8007da8d11a4351914e3b90ee94a8ef","MDPublisher","Fri, 12 Mar 2021 12:53:57 GMT","Fri, 27 Aug 2021 15:31:07 GMT","PMT Element 3.2 - Transit Access to Jobs (map) (TREND)","Web Map","","PMT,Performance Monitoring Toolkit,TPO,Florida,Miami-Dade County,MDC,County Government,Local Government,trend,access,transit","Change in jobs within 60 minutes by transit (TAZ level) in Miami Dade County (trend)","","","","english (united states)",,"public",,"Miami-Dade County, Florida","-81.41487048339745,24.94043413140525,-79.49912951659985,26.17189809996062",""
"b874dd0e2d0941a689c56f54ae72d67c","MDPublisher","Wed, 06 Jun 2018 15:35:52 GMT","Wed, 28 Aug 2019 11:35:50 GMT","Bike Lane","Feature Service","A line feature class of Miami-Dade County, Metropolitan Planning Organization (MPO) existing bike lanes. Updated: Annually The data was created using: Projected Coordinate System: WGS_1984_Web_Mercator_Auxiliary_Sphere Projection: Mercator_Auxiliary_Sphere","Florida,Miami-Dade County,MDC,County Government,Local Government,WGS84,Transportation,Bike Lane,Bicycle,Transportation,Facility,MPO,Transportation Planning Organization,TPO,MPO,Metropolitan Planning Organization,Bike305,Wellness","A line feature class of Miami-Dade County, Metropolitan Planning Organization (MPO) existing bike lanes.","","Miami-Dade County GIS Technical Support Group","Miami-Dade County provides this data for use ""as is"". The areas depicted by this map/data are approximate, and are not accurate to surveying or engineering standards. The maps/data shown here are for illustration purposes only and are not suitable for site-specific decision making. Information found here should not be used for making financial or any other commitments. Miami-Dade County provides this information with the understanding that it is not guaranteed to be accurate, correct or complete and conclusions drawn from such information are the sole responsibility of the user. While every effort has been made to ensure the accuracy, correctness and timeliness of materials presented, Miami-Dade County assumes no responsibility for errors or omissions, even if Miami-Dade County is advised of the possibility of such damage.","en-us","https://services.arcgis.com/8Pc9XBTAsYuxx9Ny/arcgis/rest/services/BikeLane_gdb/FeatureServer","public","custom","MPO","-80.48534379517103,25.436565275276422,-80.12090998748016,25.974537262151955",""
"ade67f7238094cd4897cdabcf8627d75","MD_Apps","Fri, 17 May 2019 19:01:07 GMT","Fri, 29 Dec 2023 13:22:02 GMT","Voting Centers - Web App","Web Mapping Application","An application used by citizens to locate voting center where ballots can be cast in person or by mail.","Early Voting,Voting,Polling Places,Ballots,Secretary of State,Voting Centers,Elected Officials,Precincts,Elections,Election Day,Election Officials,Clerks,Production","An application used by citizens to locate voting center where ballots can be cast in person or by mail.","/Categories/Production Content,/Categories/Source Department/Elections","Esri","The Miami-Dade County provides the data for use ""as is."" The areas depicted by this map/data are approximate, and are not accurate to surveying or engineering standards.  The maps/data shown here are for illustration purposes only and are not suitable for site-specific decision making.  Information found here should not be used for making financial or any other commitments. The Miami-Dade County provides this information with the understanding that it is not guaranteed to be accurate, correct or complete and conclusions drawn from such information are the responsibility of the user.  While every effort has been made to ensure the accuracy, correctness and timeliness of materials presented, the Miami-Dade County assumes no responsibility for errors or omissions, even if the Miami-Dade County is advised of the possibility of such damage.","en-us","https://MDC.maps.arcgis.com/apps/webappviewer/index.html?id=ade67f7238094cd4897cdabcf8627d75","public","custom","Miami-Dade County, Florida","",""
"c101fb07db1d4c628db9ac98d3117e8a","MDPublisher","Fri, 12 Apr 2019 11:38:49 GMT","Fri, 12 Apr 2019 11:39:08 GMT","Urban Development Boundary 2000 Feature Layer","Feature Service","2000 Urban Development Area","Florida,Miami-Dade County,MDC,County Government,Local Government,Data","Urban Development Boundary 2000 Feature Layer","","Miami-Dade County GIS Technical Support Group","Miami-Dade County provides this data for use ""as is"". The areas depicted by this map/data are approximate, and are not accurate to surveying or engineering standards. The maps/data shown here are for illustration purposes only and are not suitable for site-specific decision making. Information found here should not be used for making financial or any other commitments. Miami-Dade County provides this information with the understanding that it is not guaranteed to be accurate, correct or complete and conclusions drawn from such information are the sole responsibility of the user. While every effort has been made to ensure the accuracy, correctness and timeliness of materials presented, Miami-Dade County assumes no responsibility for errors or omissions, even if Miami-Dade County is advised of the possibility of such damage.","english (united states)","https://services.arcgis.com/8Pc9XBTAsYuxx9Ny/arcgis/rest/services/UrbanDevelopmentBoundary2000_gdb/FeatureServer","public","custom","Miami-Dade County, Florida","-80.5130950827307,25.43297576115077,-80.11824366105445,25.975009040267715",""
"c18a7fce39894a97bc2aee1bd98078de","MDPublisher","Tue, 08 Mar 2022 15:05:13 GMT","Sat, 28 Sep 2024 13:29:18 GMT","Utility Coordination - Coral Gables - Sites","Feature Service","This point feature class of Coral Gable's projects is prepared to support our iMDC Utility Coordination application, and it is periodically updated by the iMDC Utility Coordination Data Processor job(s) after validating Coral Gable's provided data for this solution. Any invalid data not meeting the required schema or criteria for collaboration is not reflected in this feature class. Updated: Daily The data was created using: Projected Coordinate System: WGS_1984_Web_Mercator_Auxiliary_Sphere Projection: Mercator_Auxiliary_Sphere","Florida,Miami-Dade County,MDC,County Government,Local Government,WGS84,Infrastructure,Utility Coordination - Coral Gables - Sites,Coral Gables CIP Site,ITD,Information Technology Department","A point feature class of Coral Gable's projects provided to collaborate with the iMDC Utility Coordination (for Right Of Way projects) solution.","","Miami-Dade County GIS Technical Support Group","Miami-Dade County provides this data for use ""as is"". The areas depicted by this map/data are approximate, and are not accurate to surveying or engineering standards. The maps/data shown here are for illustration purposes only and are not suitable for site-specific decision making. Information found here should not be used for making financial or any other commitments. Miami-Dade County provides this information with the understanding that it is not guaranteed to be accurate, correct or complete and conclusions drawn from such information are the sole responsibility of the user. While every effort has been made to ensure the accuracy, correctness and timeliness of materials presented, Miami-Dade County assumes no responsibility for errors or omissions, even if Miami-Dade County is advised of the possibility of such damage.","english (united states)","https://services.arcgis.com/8Pc9XBTAsYuxx9Ny/arcgis/rest/services/CoralGablesCIPSite_gdb/FeatureServer","public","custom","Miami-Dade County, Florida","-80.28001633690546,25.701611710776557,-80.25094954476563,25.750334547745112",""
